id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
610233,"Perfect City Centre Apartment, Sleeps 4 - Dublin",687547,Kate,Dublin,Dublin City,53.34578,-6.27214,Entire home/apt,150,2,61,2019-03-23,0.6,1,0
637185,"Quiet, cozy, beautiful 1bdrm!",3177950,Justin,Dublin,Dublin City,53.34689,-6.27584,Entire home/apt,98,7,158,2018-10-13,1.59,1,0
641880,Double room w shower by city centre,3207141,Hazel,Dublin,Dublin City,53.34459,-6.28475,Private room,85,2,46,2016-09-19,0.59,2,0
654589,City Centre Apartment | TEMPLE BAR | DUBLIN CASTLE,3244025,Garrett,Dublin,Dublin City,53.34489,-6.26804,Entire home/apt,136,3,472,2020-12-08,4.68,2,258
681875,"Cosy Double Room, Donnybrook, Near Centre, Dublin4",1615460,B Maria,Dublin,Dublin City,53.32949,-6.24455,Private room,42,5,25,2020-07-13,0.25,5,0
690119,Extensively Modernised Georgian House near Everything,3525420,Sarah,Dublin,Dn Laoghaire-Rathdown,53.29306,-6.24698,Entire home/apt,288,5,210,2020-10-26,2.3,1,343
692956,Studio Apartment  Ideal for visiting Dublin,3244818,Jim,Dublin,Dn Laoghaire-Rathdown,53.28101,-6.12892,Entire home/apt,59,2,269,2020-12-11,2.85,1,322
700142,Dublin  16. Wicklow Way Rest,3591857,Anne-Marie,Dublin,Dn Laoghaire-Rathdown,53.25883,-6.29157,Private room,80,2,27,2019-09-27,0.37,3,361
700193,Dublin South Foothills Walkers Base,3591857,Anne-Marie,Dublin,Dn Laoghaire-Rathdown,53.25859,-6.29201,Entire home/apt,300,2,1,2019-11-02,0.07,3,0
715205,Gracepark Guesthouse 1,3683952,Roy,Dublin,Dublin City,53.37019,-6.25003,Private room,30,2,96,2020-03-09,0.97,5,362
726011,Sunset Crag - Beautiful Apartment,3755932,Valerie,Dublin,Fingal,53.58179,-6.12118,Entire home/apt,113,3,138,2020-12-08,1.56,1,253
726075,Chestnut view- 4* Rating Close to airport and city,3756388,Mary,Dublin,Dublin City,53.36973,-6.25788,Entire home/apt,125,7,3,2017-09-02,0.05,1,365
736751,Gracepark Guesthouse 2,3683952,Roy,Dublin,Dublin City,53.37184,-6.25112,Private room,30,2,71,2020-11-27,0.72,5,355
736773,Gracepark Guesthouse 3,3683952,Roy,Dublin,Dublin City,53.37195,-6.25289,Private room,30,2,64,2020-01-26,0.66,5,365
736794,Gracepark Guesthouse 4,3683952,Roy,Dublin,Dublin City,53.37207,-6.25229,Private room,30,2,82,2020-07-11,0.9,5,365
742656,Camden Central. Dublin at your door,3888023,Daragh,Dublin,Dublin City,53.33484,-6.26428,Private room,60,2,329,2020-03-08,3.94,2,254
747284,Luxury 2 BED Apartment near  City Centre,1626936,James P  ( J.P),Dublin,Dn Laoghaire-Rathdown,53.29444,-6.23302,Entire home/apt,220,1,29,2020-03-15,0.31,1,0
816039,"Boutique Chic 4BR, 10min Temple Bar! Fab location.",192210,Susan,Dublin,Dublin City,53.36758,-6.32402,Entire home/apt,238,3,188,2020-02-09,1.94,1,173
871174,The room that sleeps three,4592908,Louise,Dublin,Dublin City,53.36777,-6.2081,Private room,27,2,215,2020-08-10,2.27,3,337
872539,Contemporary Victorian cottage,4603565,Aida,Dublin,Dublin City,53.35799,-6.23991,Entire home/apt,200,3,97,2020-01-01,1.02,1,0
928970,Self Catering Barge 'Scéal Eile',5001093,Trish,Dublin,Dublin City,53.34242,-6.23803,Entire home/apt,165,2,37,2020-03-09,0.41,2,247
929816,"Luxury Room,Grand Canal,City Center",4985632,Ashton,Dublin,Dublin City,53.343,-6.24073,Private room,79,2,161,2020-02-17,1.7,2,0
939866,"Designer Apt,GrandCanal,City Center",4985632,Ashton,Dublin,Dublin City,53.34514,-6.24077,Entire home/apt,193,2,156,2020-09-18,1.65,2,0
990300,**Superhost Home Near City**,5438017,Melanie,Dublin,Dublin City,53.31327,-6.2528,Private room,65,1,205,2018-02-25,2.17,1,0
998407,self contained cozy tot private near city & airpor,1245198,Amanda,Dublin,Dublin City,53.39622,-6.1756,Entire home/apt,45,1,192,2020-11-09,2.58,3,256
999963,Ten-shui Meatman's Quarter,5497230,Sarah And Johnny,Dublin,Dublin City,53.36181,-6.27475,Entire home/apt,200,7,10,2017-08-16,0.13,1,108
1073487,Open Plan /UCD Adjacent share with small family,5905039,Jane,Dublin,Dn Laoghaire-Rathdown,53.30296,-6.24063,Private room,39,3,52,2020-10-18,0.56,1,0
1076634,"Lovely Hse, Kimmage D6W, (5km to centre).",823405,Declan,Dublin,Dublin City,53.31599,-6.31129,Private room,59,5,50,2019-05-11,0.56,1,351
1102379,Dock Mill in the Grand Canal Basin,205636,Marie-Louise,Dublin,Dublin City,53.34012,-6.23633,Entire home/apt,110,3,194,2019-05-14,2.13,1,89
1173029,Great house in vibrant Stoneybatter,3448346,Ian,Dublin,Dublin City,53.3524,-6.27981,Entire home/apt,343,60,307,2020-08-09,4.58,1,80
1207950,Large 5 Star Prime South Dublin House,6593571,Dave & Ann,Dublin,Dn Laoghaire-Rathdown,53.28315,-6.24647,Entire home/apt,320,5,62,2019-09-16,0.69,1,1
1244710,NEW° Modern Design Apartment - No Internet,5605429,Eddy,Dublin,Dublin City,53.35352,-6.25016,Entire home/apt,128,3,65,2020-02-23,0.72,4,0
1270261,Old Country house,474328,James,Dublin,Fingal,53.56548,-6.31617,Private room,50,1,7,2019-03-17,0.09,1,361
1276002,City Centre HOME by the Liffey w outdoor Patio,6938108,Caroline,Dublin,Dublin City,53.3519,-6.23396,Entire home/apt,341,2,62,2019-10-13,0.73,1,180
1289697,"Riverside relaxation, great location.",2061662,John And Diana,Dublin,South Dublin,53.30471,-6.27694,Entire home/apt,200,6,13,2020-02-19,0.14,1,0
1296492,"Charming & clean - Dublin, Aviva",4580868,Bren & Fer,Dublin,Dublin City,53.33837,-6.22411,Private room,48,2,54,2017-12-20,0.62,1,0
1341478,Lovely old world Dublin Central,408378,Eddie,Dublin,Dublin City,53.35257,-6.29746,Private room,58,3,107,2020-09-05,1.59,1,262
1345435,"Cosy room, Portobello",435734,Conor,Dublin,Dublin City,53.3305,-6.27028,Private room,42,5,35,2019-11-18,0.45,2,120
1364560,"Cosy double in Eclectic Arty home, near Guinness",6977448,Ayelet & Steve,Dublin,Dublin City,53.33578,-6.28937,Private room,64,2,130,2020-03-16,1.45,1,0
1407832,Beautifully Renovated Dublin House,5818278,Therese,Dublin,Dn Laoghaire-Rathdown,53.29742,-6.17032,Entire home/apt,160,4,55,2020-08-16,0.62,1,5
1447994,Stunning Bedroom in Great Location,2401732,Maximilian,Dublin,Dublin City,53.33822,-6.23277,Private room,75,3,3,2015-02-14,0.04,1,0
1466234,Single room with breakfast,5940448,Elva,Dublin,Dublin City,53.32728,-6.30415,Private room,28,4,122,2020-09-19,1.37,1,341
1488124,Modern Double Room Ensuite - Heart of Dublin City°,5605429,Eddy,Dublin,Dublin City,53.35316,-6.25078,Private room,68,2,119,2018-10-28,1.33,4,0
1500892,"Cloghranguesthouse , Triple Room",2232368,Matt,Dublin,Fingal,53.42515,-6.22934,Private room,120,1,164,2019-12-19,1.83,3,365
1520036,Contemporary Apartment  Dublin City,6973475,Brendan,Dublin,Dublin City,53.34503,-6.28061,Entire home/apt,210,3,50,2019-09-20,0.57,1,360
1550394,Historic and original whole Apartment.,8257965,Luke,Dublin,Dublin City,53.34559,-6.26724,Entire home/apt,188,5,255,2020-03-15,2.86,1,180
1551644,Apartment with amazing panoramic views over Dublin,1582772,Myriam,Dublin,South Dublin,53.25599,-6.31983,Entire home/apt,140,1,19,2019-08-13,0.41,1,45
1556554,Beautiful Victorian home.,1271983,Rachel & Justin,Dublin,Dublin City,53.33495,-6.28341,Entire home/apt,183,4,13,2017-11-05,0.24,4,0
1559929,Stephen's Green 1838 Villa - single,3745350,Natasha,Dublin,Dublin City,53.33571,-6.26707,Private room,65,2,53,2020-03-15,0.61,2,0
2818,Quiet Garden View Room & Super Fast WiFi,3159,Daniel,Amsterdam,Oostelijk Havengebied - Indische Buurt,52.36435,4.94358,Private room,59,3,282,2019-11-21,2.83,1,33
20168,Studio with private bathroom in the centre 1,59484,Alexander,Amsterdam,Centrum-Oost,52.36407,4.89393,Private room,106,1,339,2020-03-27,3.57,2,0
27886,"Romantic, stylish B&B houseboat in canal district",97647,Flip,Amsterdam,Centrum-West,52.38761,4.89188,Private room,135,2,226,2021-10-20,2.13,1,22
28871,Comfortable double room,124245,Edwin,Amsterdam,Centrum-West,52.36775,4.89092,Private room,75,2,364,2021-10-15,4.62,2,267
29051,Comfortable single room,124245,Edwin,Amsterdam,Centrum-Oost,52.36584,4.89111,Private room,55,2,509,2021-10-09,5.52,2,282
44391,Quiet 2-bedroom Amsterdam city centre apartment,194779,Jan,Amsterdam,Centrum-Oost,52.37168,4.91471,Entire home/apt,240,3,41,2019-09-22,0.61,1,0
47061,Charming apartment in old centre,211696,Ivar,Amsterdam,De Baarsjes - Oud-West,52.36786,4.87458,Entire home/apt,120,2,184,2019-04-03,1.56,1,178
49552,Multatuli Luxury Guest Suite in top location,225987,Joanna & MP,Amsterdam,Centrum-West,52.38028,4.89089,Entire home/apt,157,3,384,2021-10-31,3.63,1,0
